,gamma_1,gamma_2
0,6.7846742934587425,6.7846742934587425
1,4.462285107898074,4.462285107898074
2,3.504461259673395,3.504461259673395
3,2.6835077816751043,2.6835077816751043
4,3.404038830512124,3.404038830512124
5,2.950255680599656,2.950255680599656
6,4.0428529884736335,4.0428529884736335
7,1.6721117549018092,1.6721117549018092
8,3.738695289153193,3.738695289153193
9,0.7265933794545937,0.7265933794545937
10,2.310093063739333,2.310093063739333
11,1.675866402583333,1.675866402583333
12,1.420128601916256,1.420128601916256
13,5.1934357197906245,5.1934357197906245
14,1.3657223728342105,1.3657223728342105
15,2.9570071548478034,2.9570071548478034
16,7.384062651949043,7.384062651949043
17,4.839166190067035,4.839166190067035
18,2.8076025898641417,2.8076025898641417
19,4.04225478029617,4.04225478029617
20,7.2632879185055295,7.2632879185055295
21,3.4664227844900126,3.4664227844900126
22,6.675088640083046,6.675088640083046
23,4.12795738493557,4.12795738493557
24,1.382114026282037,1.382114026282037
25,3.279869483628895,3.279869483628895
26,8.50752840704697,8.50752840704697
27,0.8551819988333805,0.8551819988333805
28,6.081852670611073,6.081852670611073
29,8.535844231525767,8.535844231525767
