,gamma_1,gamma_2
0,5.133717860911531,5.133717860911531
1,3.177775816907214,3.177775816907214
2,2.2389213998650788,2.2389213998650788
3,5.839147974036614,5.839147974036614
4,3.2065876643695703,3.2065876643695703
5,0.6906832321291841,0.6906832321291841
6,0.3973307427539441,0.3973307427539441
7,1.7492447899193508,1.7492447899193508
8,4.462915937138021,4.462915937138021
9,6.914743853180778,6.914743853180778
10,4.142904873565075,4.142904873565075
11,0.3067075329560498,0.3067075329560498
12,8.171861296011116,8.171861296011116
13,4.399330455398037,4.399330455398037
14,6.262972122520857,6.262972122520857
15,0.6368796312168098,0.6368796312168098
16,2.859617902024252,2.859617902024252
17,5.0480895509763855,5.0480895509763855
18,1.9877145891369963,1.9877145891369963
19,4.695218011027161,4.695218011027161
20,2.079247163058727,2.079247163058727
21,0.7268950932609589,0.7268950932609589
22,10.648647821669782,10.648647821669782
23,3.2672884419645274,3.2672884419645274
24,1.5550415535764197,1.5550415535764197
25,7.000796242316878,7.000796242316878
26,5.2837920243047956,5.2837920243047956
27,5.321913808925877,5.321913808925877
28,9.685377936001009,9.685377936001009
29,5.317726240910395,5.317726240910395
