,uniform_1,uniform_2
0,802.0613739180267,802.0613739180267
1,641.6061501299041,641.6061501299041
2,788.3677444732929,788.3677444732929
3,988.2691348865441,988.2691348865441
4,129.39333386200929,129.39333386200929
5,229.04814996261956,229.04814996261956
6,39.97767751950307,39.97767751950307
7,142.52488526892887,142.52488526892887
8,794.8842257069018,794.8842257069018
9,688.3137520422451,688.3137520422451
10,228.3308103632559,228.3308103632559
11,430.37496153719724,430.37496153719724
12,310.9445479843867,310.9445479843867
13,520.2199387440942,520.2199387440942
14,700.1451418732809,700.1451418732809
15,99.19454708516832,99.19454708516832
16,359.31266979274045,359.31266979274045
17,591.7928599637497,591.7928599637497
18,573.4551689607374,573.4551689607374
19,639.6947467431974,639.6947467431974
20,524.1737823355659,524.1737823355659
21,431.4128396158309,431.4128396158309
22,277.325071615529,277.325071615529
23,426.16133724204593,426.16133724204593
24,153.4522785910115,153.4522785910115
25,632.5467933512992,632.5467933512992
26,537.6360384653786,537.6360384653786
27,974.43207899877,974.43207899877
28,134.54356156307423,134.54356156307423
29,519.2411574998935,519.2411574998935
