,normal_1,normal_2
0,-0.05484669284106134,-0.05484669284106134
1,0.06140799401286903,0.06140799401286903
2,-0.11149504298927602,-0.11149504298927602
3,0.1134577435646327,0.1134577435646327
4,0.010656142833885855,0.010656142833885855
5,-0.05760038547364321,-0.05760038547364321
6,0.10829493150717884,0.10829493150717884
7,-0.08933304802029796,-0.08933304802029796
8,-0.09843206326425041,-0.09843206326425041
9,0.023268955540246463,0.023268955540246463
10,0.08132040932876883,0.08132040932876883
11,-0.13900990792431392,-0.13900990792431392
12,0.04878283311918444,0.04878283311918444
13,-0.09736791012549123,-0.09736791012549123
14,-0.00884761211037573,-0.00884761211037573
15,-0.11408228276996182,-0.11408228276996182
16,0.09487756277438636,0.09487756277438636
17,-0.09930524894819254,-0.09930524894819254
18,-0.18694189972441344,-0.18694189972441344
19,-0.06907928715899683,-0.06907928715899683
20,-0.09828109385910672,-0.09828109385910672
21,0.018481382177280705,0.018481382177280705
22,0.014678878037097704,0.014678878037097704
23,-0.0030633531046534816,-0.0030633531046534816
24,-0.17660350263281543,-0.17660350263281543
25,0.14692853798652875,0.14692853798652875
26,0.07136210148381415,0.07136210148381415
27,0.021298406900743055,0.021298406900743055
28,0.0707296042374029,0.0707296042374029
29,0.052833272038724094,0.052833272038724094
