,uniform_1,uniform_2
0,548.108401562225,548.108401562225
1,254.9030658667625,254.9030658667625
2,793.2549310994762,793.2549310994762
3,241.29349754598215,241.29349754598215
4,312.30773606651184,312.30773606651184
5,926.3549515939993,926.3549515939993
6,10.224867149127558,10.224867149127558
7,957.9965468265381,957.9965468265381
8,587.2192502598859,587.2192502598859
9,513.2391459798736,513.2391459798736
10,736.6389642141778,736.6389642141778
11,945.451897810195,945.451897810195
12,411.9662063087325,411.9662063087325
13,403.855727379316,403.855727379316
14,101.24951117242199,101.24951117242199
15,875.790936900967,875.790936900967
16,717.4904587132207,717.4904587132207
17,366.0079943178959,366.0079943178959
18,127.00702195308958,127.00702195308958
19,530.8623929284586,530.8623929284586
20,586.691693678175,586.691693678175
21,700.9377946282659,700.9377946282659
22,390.2496027698482,390.2496027698482
23,862.1719988356609,862.1719988356609
24,364.1586965666696,364.1586965666696
25,105.52119997821755,105.52119997821755
26,475.80426110016475,475.80426110016475
27,683.3143357650814,683.3143357650814
28,393.248591149008,393.248591149008
29,803.9079550120458,803.9079550120458
