,gamma_1,gamma_2
0,4.829939451976999,4.829939451976999
1,0.850485896523283,0.850485896523283
2,9.981788058584735,9.981788058584735
3,4.113760881607804,4.113760881607804
4,4.7012580721028145,4.7012580721028145
5,1.8437095530908698,1.8437095530908698
6,2.1024229098398592,2.1024229098398592
7,4.82099278470021,4.82099278470021
8,5.096146116756576,5.096146116756576
9,2.150757319842535,2.150757319842535
10,1.372253692249682,1.372253692249682
11,1.8571353826371948,1.8571353826371948
12,5.475856779021493,5.475856779021493
13,1.9407089034007168,1.9407089034007168
14,9.088787247254475,9.088787247254475
15,8.746757617886447,8.746757617886447
16,1.553371768684587,1.553371768684587
17,2.730335706873263,2.730335706873263
18,2.9418901749473276,2.9418901749473276
19,0.9528053196499281,0.9528053196499281
20,7.023818142657551,7.023818142657551
21,3.210321794432623,3.210321794432623
22,2.0803310114239975,2.0803310114239975
23,7.10537140969454,7.10537140969454
24,3.727731376573865,3.727731376573865
25,1.052229093332179,1.052229093332179
26,3.2105338436477515,3.2105338436477515
27,6.719767675188759,6.719767675188759
28,2.8191913170875154,2.8191913170875154
29,2.027816477897816,2.027816477897816
