,uniform_1,uniform_2
0,211.0911097842603,211.0911097842603
1,605.9194315988559,605.9194315988559
2,955.2768764482485,955.2768764482485
3,866.2450945937981,866.2450945937981
4,407.2350796843747,407.2350796843747
5,111.28634184217363,111.28634184217363
6,809.5691692478543,809.5691692478543
7,149.4649904046451,149.4649904046451
8,425.10253144924286,425.10253144924286
9,83.90011482925021,83.90011482925021
10,300.0691152530774,300.0691152530774
11,393.33733271274764,393.33733271274764
12,430.8774545128926,430.8774545128926
13,244.8780319306218,244.8780319306218
14,988.6299567085678,988.6299567085678
15,479.51522652611254,479.51522652611254
16,172.95218637795722,172.95218637795722
17,937.6513833822189,937.6513833822189
18,851.5841392998935,851.5841392998935
19,83.39723259478585,83.39723259478585
20,56.68601530708082,56.68601530708082
21,55.727235657564805,55.727235657564805
22,527.5097597604848,527.5097597604848
23,118.15221236865905,118.15221236865905
24,228.64863520049437,228.64863520049437
25,592.4044061712334,592.4044061712334
26,724.2611937326834,724.2611937326834
27,568.7001321819898,568.7001321819898
28,962.1466895137844,962.1466895137844
29,428.75380730862236,428.75380730862236
