,gamma_1,gamma_2
0,3.1965791880314267,3.1965791880314267
1,1.8677643736280818,1.8677643736280818
2,1.919891766054148,1.919891766054148
3,4.381409309292667,4.381409309292667
4,5.2899856757491115,5.2899856757491115
5,4.121203641390089,4.121203641390089
6,4.087498697817243,4.087498697817243
7,7.544364615923997,7.544364615923997
8,1.1046478399283546,1.1046478399283546
9,0.11294514361388625,0.11294514361388625
10,3.622620990962801,3.622620990962801
11,1.2018099859250961,1.2018099859250961
12,3.520232611587062,3.520232611587062
13,0.8409326572089643,0.8409326572089643
14,2.985049687516592,2.985049687516592
15,1.9489151860004543,1.9489151860004543
16,3.3845248606903375,3.3845248606903375
17,4.542814265787199,4.542814265787199
18,1.7855520899657527,1.7855520899657527
19,1.6558123525035624,1.6558123525035624
20,6.056497628502287,6.056497628502287
21,1.1405559370515947,1.1405559370515947
22,1.81304380849286,1.81304380849286
23,3.2889370757485996,3.2889370757485996
24,1.7596253523295036,1.7596253523295036
25,5.646794941234639,5.646794941234639
26,4.030956741711191,4.030956741711191
27,3.8107776126282533,3.8107776126282533
28,6.4001961331554895,6.4001961331554895
29,2.646721398757752,2.646721398757752
