,gamma_1,gamma_2
0,1.9849489221227172,1.9849489221227172
1,10.011023391262535,10.011023391262535
2,4.242455408007836,4.242455408007836
3,7.403317724347498,7.403317724347498
4,0.8258742590436733,0.8258742590436733
5,3.4809811604878877,3.4809811604878877
6,8.207942621461157,8.207942621461157
7,8.817473786646339,8.817473786646339
8,3.131854781279559,3.131854781279559
9,1.5381325158638919,1.5381325158638919
10,4.635566963093968,4.635566963093968
11,5.747851779682324,5.747851779682324
12,5.579759188067815,5.579759188067815
13,2.7031893901248307,2.7031893901248307
14,5.64782879127758,5.64782879127758
15,3.400244696946262,3.400244696946262
16,8.898841806680883,8.898841806680883
17,2.57471177569639,2.57471177569639
18,2.5178880395923824,2.5178880395923824
19,3.8477990039793526,3.8477990039793526
20,4.746187959777713,4.746187959777713
21,5.706458828631962,5.706458828631962
22,2.805028436379657,2.805028436379657
23,0.4856901401184718,0.4856901401184718
24,2.813579568259282,2.813579568259282
25,4.1374302130060014,4.1374302130060014
26,1.8003451397440449,1.8003451397440449
27,2.9084317958151766,2.9084317958151766
28,2.8087787782682705,2.8087787782682705
29,3.414568897252985,3.414568897252985
