,gamma_1,gamma_2
0,6.253274025181916,6.253274025181916
1,1.4230287106925879,1.4230287106925879
2,8.031350439768111,8.031350439768111
3,3.581464496575466,3.581464496575466
4,4.609092864395799,4.609092864395799
5,7.695719706522279,7.695719706522279
6,1.4423506017080496,1.4423506017080496
7,2.0168764396052303,2.0168764396052303
8,5.010223998641093,5.010223998641093
9,3.1214857275057413,3.1214857275057413
10,2.4804613111523994,2.4804613111523994
11,7.290582698733578,7.290582698733578
12,0.863424460550048,0.863424460550048
13,2.7651108165023963,2.7651108165023963
14,9.150030934506535,9.150030934506535
15,5.828013261158477,5.828013261158477
16,3.8598652881550706,3.8598652881550706
17,8.286053830797899,8.286053830797899
18,6.2597551699871445,6.2597551699871445
19,3.7620849963668346,3.7620849963668346
20,0.771736371158324,0.771736371158324
21,0.9878332404940892,0.9878332404940892
22,2.6341160656259976,2.6341160656259976
23,3.132740010574648,3.132740010574648
24,9.416349783139495,9.416349783139495
25,2.4077528277382254,2.4077528277382254
26,0.8663064894462205,0.8663064894462205
27,2.278627926873182,2.278627926873182
28,0.4092107999872707,0.4092107999872707
29,3.217374516806015,3.217374516806015
