,power_1,power_2
0,0.7639923940697432,0.7639923940697432
1,0.6204381052164695,0.6204381052164695
2,0.8965188160199768,0.8965188160199768
3,0.7944342119689688,0.7944342119689688
4,0.9448041828899086,0.9448041828899086
5,0.7649792250898638,0.7649792250898638
6,0.6988969136858248,0.6988969136858248
7,0.5874568597256148,0.5874568597256148
8,0.7517567109378114,0.7517567109378114
9,0.8361948897161164,0.8361948897161164
10,0.3505332423565175,0.3505332423565175
11,0.973165640723759,0.973165640723759
12,0.8855587776589946,0.8855587776589946
13,0.779177880071419,0.779177880071419
14,0.9014344149567323,0.9014344149567323
15,0.8637644116325265,0.8637644116325265
16,0.7006462926661257,0.7006462926661257
17,0.9898023859706122,0.9898023859706122
18,0.7757663561484085,0.7757663561484085
19,0.8279632169184006,0.8279632169184006
20,0.5862559026602447,0.5862559026602447
21,0.9881214537882419,0.9881214537882419
22,0.9488262433794055,0.9488262433794055
23,0.9550446217731215,0.9550446217731215
24,0.9368897889893232,0.9368897889893232
25,0.8379353801273478,0.8379353801273478
26,0.8611509914045977,0.8611509914045977
27,0.8858370288782484,0.8858370288782484
28,0.6237674927118675,0.6237674927118675
29,0.9724248674192683,0.9724248674192683
