,uniform_1,uniform_2
0,899.9058988360547,899.9058988360547
1,277.55443240180415,277.55443240180415
2,670.6085164220375,670.6085164220375
3,183.67591103268612,183.67591103268612
4,987.6457220208547,987.6457220208547
5,521.1933379743408,521.1933379743408
6,166.9117348152843,166.9117348152843
7,56.016969716009264,56.016969716009264
8,638.7966503783582,638.7966503783582
9,158.91849427331567,158.91849427331567
10,43.474510925275084,43.474510925275084
11,802.5728953246647,802.5728953246647
12,856.6591140848394,856.6591140848394
13,702.0223419674174,702.0223419674174
14,45.60406110297711,45.60406110297711
15,222.21302109725292,222.21302109725292
16,974.684894002558,974.684894002558
17,636.6398483649526,636.6398483649526
18,986.1959341064367,986.1959341064367
19,627.2164026399785,627.2164026399785
20,393.60669471076926,393.60669471076926
21,356.2258056698225,356.2258056698225
22,669.1089950739615,669.1089950739615
23,714.3081822226846,714.3081822226846
24,373.08997752283915,373.08997752283915
25,329.5206707739708,329.5206707739708
26,279.0205486778642,279.0205486778642
27,289.2545353181254,289.2545353181254
28,283.1987970726541,283.1987970726541
29,816.2948976436408,816.2948976436408
