,uniform_1,uniform_2
0,276.6386803671212,276.6386803671212
1,539.5423156197668,539.5423156197668
2,839.1794842045163,839.1794842045163
3,846.861281668483,846.861281668483
4,982.1032280464608,982.1032280464608
5,892.8744482013881,892.8744482013881
6,487.2370863219246,487.2370863219246
7,383.5797863901776,383.5797863901776
8,63.854344756725624,63.854344756725624
9,716.2479028868472,716.2479028868472
10,852.3388738490845,852.3388738490845
11,660.224765448757,660.224765448757
12,208.83650958484426,208.83650958484426
13,951.7787315788323,951.7787315788323
14,164.19320266766164,164.19320266766164
15,708.5214155036344,708.5214155036344
16,369.3981229489593,369.3981229489593
17,546.4195332474754,546.4195332474754
18,592.5967409269568,592.5967409269568
19,598.7856936623988,598.7856936623988
20,459.8159516950174,459.8159516950174
21,930.7971618486962,930.7971618486962
22,286.87747371719684,286.87747371719684
23,343.20499705563327,343.20499705563327
24,578.3881889538545,578.3881889538545
25,92.30666515721066,92.30666515721066
26,138.11633647166283,138.11633647166283
27,356.1410749270098,356.1410749270098
28,909.3880149790689,909.3880149790689
29,694.6197924504193,694.6197924504193
