,gamma_1,gamma_2
0,4.5505096579426025,4.5505096579426025
1,9.406707680030948,9.406707680030948
2,12.219581645313083,12.219581645313083
3,3.882982140324553,3.882982140324553
4,8.084511249679396,8.084511249679396
5,2.517408973756998,2.517408973756998
6,3.410653509648285,3.410653509648285
7,2.365274293637643,2.365274293637643
8,2.840198104548126,2.840198104548126
9,8.054283720464468,8.054283720464468
10,3.7341271723878378,3.7341271723878378
11,10.956751933401966,10.956751933401966
12,5.403123762174113,5.403123762174113
13,6.000359477035992,6.000359477035992
14,1.98092630427258,1.98092630427258
15,1.124540390718752,1.124540390718752
16,2.86926821544148,2.86926821544148
17,4.033133329602753,4.033133329602753
18,2.1231914181649887,2.1231914181649887
19,6.924006695397866,6.924006695397866
20,1.535120675110222,1.535120675110222
21,3.1331062083682597,3.1331062083682597
22,1.198140344189583,1.198140344189583
23,6.8192772838437845,6.8192772838437845
24,1.548813615666032,1.548813615666032
25,2.02284744672587,2.02284744672587
26,2.0643912977804586,2.0643912977804586
27,2.9686738365400656,2.9686738365400656
28,6.73734990776313,6.73734990776313
29,0.7938709310016963,0.7938709310016963
