,uniform_1,uniform_2
0,552.2667831831536,552.2667831831536
1,207.79464137530746,207.79464137530746
2,484.2272929148322,484.2272929148322
3,219.45197272157188,219.45197272157188
4,553.3445748584768,553.3445748584768
5,771.1799249909691,771.1799249909691
6,91.93508020016998,91.93508020016998
7,915.9807486135195,915.9807486135195
8,899.0697155212506,899.0697155212506
9,319.4003039167137,319.4003039167137
10,975.7726509177518,975.7726509177518
11,336.23945673387897,336.23945673387897
12,692.6438216133216,692.6438216133216
13,319.14389403201653,319.14389403201653
14,985.2416361829128,985.2416361829128
15,971.8291264956823,971.8291264956823
16,556.978804109708,556.978804109708
17,633.8179815478401,633.8179815478401
18,905.9944140516469,905.9944140516469
19,587.1985279417673,587.1985279417673
20,319.42119105623533,319.42119105623533
21,390.32811056775694,390.32811056775694
22,417.96502390425934,417.96502390425934
23,251.2002307405281,251.2002307405281
24,942.1187800084255,942.1187800084255
25,790.7644354290966,790.7644354290966
26,997.596082910269,997.596082910269
27,992.6048741975576,992.6048741975576
28,880.1255879788413,880.1255879788413
29,711.3580159183741,711.3580159183741
