,gamma_1,gamma_2
0,0.8599300173858673,0.8599300173858673
1,2.131076747728513,2.131076747728513
2,2.7013012164830115,2.7013012164830115
3,4.269883839432133,4.269883839432133
4,2.242951563429525,2.242951563429525
5,4.842004193034091,4.842004193034091
6,4.502279486113156,4.502279486113156
7,0.8939348890049276,0.8939348890049276
8,1.0715179918045548,1.0715179918045548
9,1.3629434491904664,1.3629434491904664
10,2.2495710678488674,2.2495710678488674
11,1.3096963064592706,1.3096963064592706
12,2.7856518103122245,2.7856518103122245
13,14.153618059368096,14.153618059368096
14,7.092476236496112,7.092476236496112
15,1.8513775728742126,1.8513775728742126
16,3.6899113022346315,3.6899113022346315
17,4.3983664727289264,4.3983664727289264
18,1.5501211792767011,1.5501211792767011
19,2.014093913408837,2.014093913408837
20,7.5262236201080475,7.5262236201080475
21,4.468751761673139,4.468751761673139
22,9.965567088425155,9.965567088425155
23,1.3038735198694895,1.3038735198694895
24,3.7261720861138645,3.7261720861138645
25,7.981155731603437,7.981155731603437
26,3.6211154768693765,3.6211154768693765
27,1.7570883308136576,1.7570883308136576
28,1.4545969162613632,1.4545969162613632
29,1.553311778000737,1.553311778000737
