,gamma_1,gamma_2
0,3.5289478181640463,3.5289478181640463
1,3.3043158097602903,3.3043158097602903
2,0.8925526192488275,0.8925526192488275
3,14.81062964894427,14.81062964894427
4,5.497842401987188,5.497842401987188
5,7.673966177029396,7.673966177029396
6,10.812057279932064,10.812057279932064
7,1.1782459033876793,1.1782459033876793
8,6.259499996529078,6.259499996529078
9,1.6211483148441814,1.6211483148441814
10,5.118332878024803,5.118332878024803
11,1.9393467131190028,1.9393467131190028
12,1.637881106726972,1.637881106726972
13,1.2143410663065872,1.2143410663065872
14,5.501902275263889,5.501902275263889
15,3.3154723733605485,3.3154723733605485
16,4.150134835542763,4.150134835542763
17,4.279444344180872,4.279444344180872
18,4.909144336767129,4.909144336767129
19,4.93761919220661,4.93761919220661
20,3.513558190346764,3.513558190346764
21,2.244037460761842,2.244037460761842
22,2.3574762881422555,2.3574762881422555
23,1.3528547726297833,1.3528547726297833
24,3.1171969003841955,3.1171969003841955
25,5.376005723476917,5.376005723476917
26,1.6663512945409336,1.6663512945409336
27,1.7078799888895757,1.7078799888895757
28,12.572328264783811,12.572328264783811
29,1.4826453504356356,1.4826453504356356
