,gamma_1,gamma_2
0,5.234367467680791,5.234367467680791
1,9.029503936089467,9.029503936089467
2,0.6087032999507819,0.6087032999507819
3,5.649265138958685,5.649265138958685
4,0.7042169753694006,0.7042169753694006
5,2.3540938403880975,2.3540938403880975
6,7.5741710538485165,7.5741710538485165
7,2.5791892074847107,2.5791892074847107
8,3.020210419176787,3.020210419176787
9,3.687270541954077,3.687270541954077
10,4.535718568494141,4.535718568494141
11,2.4826887897608345,2.4826887897608345
12,12.01061518285174,12.01061518285174
13,5.034583491989918,5.034583491989918
14,3.964613951921477,3.964613951921477
15,3.691924346818479,3.691924346818479
16,2.6460557478139166,2.6460557478139166
17,5.622597397465914,5.622597397465914
18,2.949536025325997,2.949536025325997
19,2.267341066190073,2.267341066190073
20,2.420804185329965,2.420804185329965
21,4.514383934788462,4.514383934788462
22,3.2835829185835013,3.2835829185835013
23,1.568624150079265,1.568624150079265
24,4.3701756483807985,4.3701756483807985
25,0.7427825350199287,0.7427825350199287
26,6.9083638051129554,6.9083638051129554
27,2.285647960641372,2.285647960641372
28,2.632326148915845,2.632326148915845
29,1.7430214182453994,1.7430214182453994
