,normal_1,normal_2
0,0.0648175744587932,0.0648175744587932
1,-0.12865523759172898,-0.12865523759172898
2,-0.008280148432504828,-0.008280148432504828
3,0.01639822196048198,0.01639822196048198
4,-0.02064366687208155,-0.02064366687208155
5,-0.0769441020042186,-0.0769441020042186
6,-0.00913459613945485,-0.00913459613945485
7,0.2126866436106133,0.2126866436106133
8,0.11190871289053246,0.11190871289053246
9,-0.1704456613766672,-0.1704456613766672
10,0.00662224321212481,0.00662224321212481
11,-0.11267339500089933,-0.11267339500089933
12,-0.11368040211323652,-0.11368040211323652
13,-0.004818390951732359,-0.004818390951732359
14,-0.022032511484222615,-0.022032511484222615
15,0.027908679488283503,0.027908679488283503
16,0.06943850802247041,0.06943850802247041
17,-0.07979468317172317,-0.07979468317172317
18,-0.16548638259433293,-0.16548638259433293
19,-0.18886770006706788,-0.18886770006706788
20,-0.06927727490219547,-0.06927727490219547
21,0.0015368245370556129,0.0015368245370556129
22,0.02730767637245904,0.02730767637245904
23,0.02396838534970128,0.02396838534970128
24,-0.1360544940392298,-0.1360544940392298
25,0.07418826838077563,0.07418826838077563
26,-0.1681699612089289,-0.1681699612089289
27,0.014943819777780091,0.014943819777780091
28,-0.05604174708990424,-0.05604174708990424
29,0.03675443664557103,0.03675443664557103
