,gamma_1,gamma_2
0,3.680954325199668,3.680954325199668
1,4.509985764059478,4.509985764059478
2,4.460168040255822,4.460168040255822
3,4.345511679086423,4.345511679086423
4,6.525897666335551,6.525897666335551
5,4.576610664725832,4.576610664725832
6,0.6713617543492358,0.6713617543492358
7,7.252198222759985,7.252198222759985
8,8.196162310060878,8.196162310060878
9,0.9142460468663283,0.9142460468663283
10,7.45707467330398,7.45707467330398
11,2.0497663870255916,2.0497663870255916
12,4.786117366681277,4.786117366681277
13,5.702033659074052,5.702033659074052
14,9.573521915640562,9.573521915640562
15,3.0356729941293477,3.0356729941293477
16,2.144495238452049,2.144495238452049
17,5.889670328225719,5.889670328225719
18,3.398210116093689,3.398210116093689
19,1.1857810464609728,1.1857810464609728
20,3.2212434402880388,3.2212434402880388
21,2.6651738998175096,2.6651738998175096
22,5.921647558650689,5.921647558650689
23,5.824495434223475,5.824495434223475
24,2.9265555424532677,2.9265555424532677
25,3.025747547692135,3.025747547692135
26,1.4675612916542817,1.4675612916542817
27,2.92196735661111,2.92196735661111
28,2.8247321722641767,2.8247321722641767
29,2.955319043044372,2.955319043044372
